Area;Gross
Bulgaria;$721093
Croatia;$1323649
Czech Republic;$3729669
France;$43916067
Germany;$43824558
Hungary;$2320672
Iceland;$595160
Italy;$35302504
Lithuania;$1110011
Netherlands;$12800000
Norway;$6748797
Poland;$10664592
Portugal;$5587416
Romania;$2548694
Slovakia;$1341130
Slovenia;$645523
South Africa;$1797022
Spain;$34000000
Switzerland;$8200000
Türkiye;$6400000
Ukraine;$4164805
United Arab Emirates;$7923814
United Kingdom;$72599135
